gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TotalSpend,AvgMonthlySpend,tenure_1-2yr,tenure_2-4yr,tenure_4-6yr,tenure_6+yr
1,0,0,0,0.10237123836138416,0,0,-0.521975649615926,-0.26225719995201097,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,-0.3132623179942557,0.05240672537706066,False,False,False,False
1,0,1,1,-0.7117434584104958,1,0,0.3374778078243396,-0.5036347857749958,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.5013515132008095,-0.04526942971672768,False,False,False,False
1,0,1,1,-0.7931549280876837,0,0,-0.8090131942822698,-0.749882924593136,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,0.3783353472608129,-0.1667065601978361,False,False,False,False
0,0,1,0,-0.26398037518596185,1,1,0.28438415794386007,-0.17272239466719,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,-0.33328619124198705,0.052908411467046404,False,False,False,False
1,0,1,1,-1.2816237461508118,1,0,-0.6762790695810705,-0.9893737196161954,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.6021992252311733,0.30380648095101875,False,False,False,False
1,0,0,1,1.3642490183577978,1,1,0.4834853449956591,1.2710674769778723,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0.4144453673056111,0.10378093940479598,False,False,False,False
0,0,0,0,-1.2816237461508118,1,0,-1.4975714661697417,-1.0002337364297182,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,1.6552736870158347,0.3064207592179744,False,False,False,False
0,0,1,0,0.3058999125543541,1,0,-0.2764175189187073,0.03500010874782711,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,-0.3422258997400674,0.06993155251861302,False,False,False,False
0,0,1,0,1.323543283519204,1,1,-0.1702302191577479,0.6620728371601656,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,-0.4773533342297094,0.08694523008558723,False,False,False,False
0,0,0,0,1.120014609326234,1,0,0.5183280527297239,1.1179083307653421,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,0.33385505756704165,0.10311451762800443,False,False,False,False
0,1,0,0,-1.118800806796436,1,0,-0.16691186604021788,-0.8826164634250808,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,-0.0772951973420177,0.5772425139807346,False,False,False,False
0,0,1,1,-1.118800806796436,1,1,-0.5153389433808663,-0.9068814706892347,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.31249936756701274,0.5913884967720152,False,False,False,False
0,0,0,0,-1.2409180113122178,1,0,-0.46390447005915136,-0.954928817803608,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.3111563623138242,0.3347008385882555,False,False,False,False
1,0,1,1,-0.10115743583158582,1,0,0.08860132400959078,-0.13125687592464855,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,-0.26690514283311845,0.058642300954050756,False,False,False,False
1,0,1,0,0.14307697319997814,1,1,1.011103490682927,0.5155174587473736,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,-0.10698206463851069,0.0982078350974276,False,False,False,False
0,0,1,1,0.9164859351332642,1,1,0.13671744421377566,0.677167163559567,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,-0.1261632858591933,0.09154636276040415,False,False,False,False
0,0,0,0,-0.06045170099299183,1,1,0.6576988836659834,0.13780826791584266,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,-0.2949490625431703,0.07806633309873083,False,False,False,False
0,1,1,1,-0.1825689055087738,0,1,-0.9633166142474141,-0.5816952702649228,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,-0.08666902352611223,0.0211458490758931,False,False,False,False
1,0,0,0,-0.6710377235719017,1,0,-1.5257774676687463,-0.8655256490862238,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0.7594288499665741,-0.1039726735257451,False,False,False,False
